title,price,location,ongkir,ratingseller
Samsung a52s 5G 128GB Black USED condition,"IDR2,929,153.85",from Belgium,"+IDR195,276.92 shipping",no rating
samsung galaxy z fold 3,"IDR9,357,019.23",from Belgium,Shipping not specified,no rating
samsung galaxy flip Z3,"IDR6,834,692.31",from Netherlands,"+IDR406,826.92 shipping",no rating
Samsung Galaxy s10 | Rooted Android | Pokémon Go Location Spoofing |,"IDR4,068,269.23",from Austria,"+IDR488,192.31 shipping",no rating
samsung galaxy s3 mini,"IDR242,468.85",from Austria,"+IDR242,468.85 shipping",no rating
Samsung Galaxy A5,"IDR1,301,846.15",from Belgium,Shipping not specified,no rating
Samsung Galaxy A7 (2018) 64GB Duo Sim Blue GSM Phone + Its Original Box  ,"IDR2,034,134.62",from Belgium,"+IDR162,730.77 shipping",no rating
samsung s 9 rose,"IDR1,611,034.62",from Belgium,"+IDR325,461.54 shipping",no rating
9 Verschillende merken:zoals Nokia 3310-3210-Samsung:SGH-E340-Sony EricssonZ600-,"IDR1,627,307.69",from Belgium,"+IDR260,369.23 shipping",no rating
Samsung Galaxy S10 G973F-128GB-Prism Black Unlocked Dual SIM,"IDR4,068,269.23",from Ireland,"+IDR650,923.08 shipping",no rating
"Samsung s8 64gb ""Nikel"" with: Samsung Gear VR Headset & Controller New....","IDR3,238,342.31",from Belgium,"+IDR649,133.05 shipping",no rating
samsung galaxy note 20 ultra 5g,"IDR4,245,304.62",from Poland,Shipping not specified,no rating
Samsung Galaxy Z Flip 3 5G,"IDR8,136,538.46",from Belgium,Shipping not specified,no rating
"nokia, samsung, motorola, sony ericsson, stare modele","IDR884,438.46",from Poland,"+IDR88,443.85 shipping",no rating
Samsung B 2710 D Tasten Handy X Cover 271 Sehr Robustes Handwerker Telefon ,"IDR405,199.62",from Austria,"+IDR649,295.77 shipping",no rating
Samsung Champ 2 GT-C3330 Telefon #3590,"IDR250,978.12",from Switzerland,"+IDR325,092.46 shipping",no rating
samsung galaxy a33 5g,"IDR2,766,423.08",from Belgium,Shipping not specified,no rating
samsung galaxy z fold3 5g,"IDR11,716,615.38",from Belgium,Shipping not specified,no rating
Google Pixel 4 XL | Rooted Android | Pokémon Go Location Spoofing |,"IDR4,068,269.23",from Austria,"+IDR488,192.31 shipping",no rating
Samsung S5 in gebrauchen Zustand und diverse starke Abnutzung,"IDR1,684,416.92",from Switzerland,"+IDR741,143.45 shipping",no rating
Samsung Galaxy S5 NEO SM-G903F Gold,"IDR1,768,876.92",from Poland,Shipping not specified,no rating
Samsung GALAXY J5 2017 DUO New Battery!,"IDR2,122,652.31",from Poland,"+IDR318,397.85 shipping",no rating
"SAMSUNG Galaxy Note 10+ Plus ohne Simlock, Schwarz, mit Daten ","IDR895,019.23",from Austria,Shipping not specified,no rating
samsung galaxy s 21 5g 8+128GB BLACK   unlock,"IDR3,986,903.85",from Austria,Shipping not specified,no rating
